language,program,protocol,parties,inputs,time
symphony,lwz,rep,3,10,497
symphony,lwz,rep,3,10,498
symphony,lwz,rep,3,10,484
symphony,lwz,rep,3,10,489
symphony,lwz,rep,3,10,497
symphony,lwz,rep,3,20,489
symphony,lwz,rep,3,20,508
symphony,lwz,rep,3,20,507
symphony,lwz,rep,3,20,514
symphony,lwz,rep,3,20,508
symphony,lwz,rep,3,30,517
symphony,lwz,rep,3,30,511
symphony,lwz,rep,3,30,529
symphony,lwz,rep,3,30,527
symphony,lwz,rep,3,30,527
symphony,lwz,rep,3,40,570
symphony,lwz,rep,3,40,601
symphony,lwz,rep,3,40,593
symphony,lwz,rep,3,40,607
symphony,lwz,rep,3,40,677
symphony,lwz,rep,3,50,564
symphony,lwz,rep,3,50,671
symphony,lwz,rep,3,50,584
symphony,lwz,rep,3,50,540
symphony,lwz,rep,3,50,552
symphony,lwz,rep,3,60,558
symphony,lwz,rep,3,60,562
symphony,lwz,rep,3,60,562
symphony,lwz,rep,3,60,558
symphony,lwz,rep,3,60,565
symphony,lwz,rep,3,70,672
symphony,lwz,rep,3,70,571
symphony,lwz,rep,3,70,554
symphony,lwz,rep,3,70,555
symphony,lwz,rep,3,70,565
symphony,lwz,rep,3,80,572
symphony,lwz,rep,3,80,590
symphony,lwz,rep,3,80,582
symphony,lwz,rep,3,80,575
symphony,lwz,rep,3,80,578
symphony,lwz,rep,3,90,579
symphony,lwz,rep,3,90,586
symphony,lwz,rep,3,90,582
symphony,lwz,rep,3,90,581
symphony,lwz,rep,3,90,569
symphony,lwz,gmw,3,10,558
symphony,lwz,gmw,3,10,667
symphony,lwz,gmw,3,10,547
symphony,lwz,gmw,3,10,3571
symphony,lwz,gmw,3,10,3536
symphony,lwz,gmw,3,20,3567
symphony,lwz,gmw,3,20,561
symphony,lwz,gmw,3,20,538
symphony,lwz,gmw,3,20,3562
symphony,lwz,gmw,3,20,3552
symphony,lwz,gmw,3,30,3591
symphony,lwz,gmw,3,30,578
symphony,lwz,gmw,3,30,675
symphony,lwz,gmw,3,30,3564
symphony,lwz,gmw,3,30,570
symphony,lwz,gmw,3,40,601
symphony,lwz,gmw,3,40,588
symphony,lwz,gmw,3,40,6809
symphony,lwz,gmw,3,40,3632
